time (min),uvrD,lexA,umuDC,recA,uvrA,uvrY,ruvA,polB
6,0.0797016464,0.5326469734,0.0674898657,0.4436778041,0.5825037593,0.0210263407,0.0000000000,0.0204332129
12,0.1056733584,0.8602380270,0.0927718390,0.7344680103,0.8411336106,0.0092849445,0.0030479958,0.0209550704
18,0.0925675306,0.8532226477,0.1255649166,0.8685972485,1.0000000000,0.0056327343,0.0033006097,0.0214262467
24,0.0812450457,0.7280845615,0.1250169267,0.8404486230,0.8888095233,0.0000000000,0.0073844015,0.0219884906
30,0.0378421868,0.6200196865,0.0945900251,0.7739153639,0.7282967885,0.0048622225,0.0004410844,0.0248820673
36,0.0337583950,0.4788837792,0.0839366897,0.6686078599,0.5369295302,0.0128516301,0.0000000000,0.0228405674
42,0.0399470382,0.3377225318,0.0720282040,0.6005414964,0.3320470352,0.0111736091,0.0000000000,0.0200515206
48,0.0351640050,0.2471133523,0.0625278647,0.5160283085,0.2449887036,0.0088272303,0.0000000000,0.0177827473
54,0.0385208391,0.2000258157,0.0514104801,0.4712491397,0.1891642124,0.0117897017,0.0000000000,0.0172363412
60,0.0638899206,0.1470592660,0.0419600300,0.4145424799,0.1650154379,0.0089190899,0.0000000000,0.0156264229
66,0.0849344748,0.1520466076,0.0269916701,0.3645645341,0.1631719112,0.0000000000,0.0000000000,0.0141740913
72,0.0634385416,0.1691087324,0.0244821614,0.3483560699,0.1546646056,0.0000000000,0.0000000000,0.0111815280
78,0.0475460426,0.1168350891,0.0218229850,0.3133591543,0.1481821702,0.0000000000,0.0000000000,0.0070549740
84,0.0608728085,0.0930783015,0.0158489448,0.2838967783,0.1367472365,0.0000000000,0.0000000000,0.0041416000
90,0.0645178916,0.1049519439,0.0168134704,0.2322392276,0.1240143902,0.0015101398,0.0000000000,0.0047173061
96,0.0389785532,0.0756202303,0.0250063945,0.2354163020,0.1010138605,0.0046998845,0.0000000000,0.0005471980
102,0.0273060516,0.0653097845,0.0207064160,0.2282092846,0.0827021287,0.0064768922,0.0000000000,0.0008528687
108,0.0162417237,0.0743516179,0.0150673465,0.2224189636,0.0624288781,0.0021428622,0.0000000000,0.0012163475
114,0.0096428800,0.0978795483,0.0212678681,0.2440431835,0.0692336139,0.0030155282,0.0000000000,0.0037622832
120,0.0135247391,0.1149678056,0.0280963607,0.2448295331,0.0640150396,0.0088517790,0.0128745950,0.0000000000
126,0.0289745699,0.1110867384,0.0228484863,0.2422052000,0.0541044998,0.0072291904,0.0110849171,0.0043577867
132,0.0307864209,0.1060297102,0.0209859542,0.2152950949,0.0509757309,0.0062393243,0.0109875142,0.0096333773
138,0.0301014336,0.0973648179,0.0186918404,0.2139845121,0.0504324923,0.0072268148,0.0000000000,0.0103088620
144,0.0230052811,0.0858997923,0.0092722742,0.2095301145,0.0443784710,0.0075111043,0.0000000000,0.0127328462
150,0.0172600980,0.0705362778,0.0077771803,0.1959816186,0.0451442314,0.0070969443,0.0000000000,0.0124073782
156,0.0152898684,0.0630307167,0.0127716490,0.1837381622,0.0471152529,0.0045518005,0.0000000000,0.0100562482
162,0.0154276578,0.0709456864,0.0234368628,0.1835655295,0.0521532756,0.0078516183,0.0000000000,0.0086767707
168,0.0106913463,0.0815895191,0.0240735447,0.1709300861,0.0500278350,0.0096460476,0.0001282867,0.0089800657
174,0.0163224968,0.0726870590,0.0260231850,0.1646060293,0.0422340249,0.0134542607,0.0000000000,0.0073281771
180,0.0227518754,0.0694181250,0.0299573090,0.1725811829,0.0397261001,0.0123368998,0.0000000000,0.0064531354
186,0.0277946495,0.0727068563,0.0251623974,0.1872509991,0.0411950614,0.0114088013,0.0000000000,0.0082523161
192,0.0251283460,0.0626941622,0.0212013491,0.1783319092,0.0343626093,0.0042817650,0.0000000000,0.0050926633
198,0.0251473515,0.0581130617,0.0207863972,0.1692805732,0.0381668629,0.0000000000,0.0000000000,0.0013287963
204,0.0146888217,0.0604950756,0.0188003297,0.1569349626,0.0491234933,0.0000000000,0.0000000000,0.0000000000
210,0.0146476433,0.0590356170,0.0155234769,0.1414613750,0.0492034745,0.0035358019,0.0000000000,0.0000000000
216,0.0168269326,0.0566441004,0.0146531865,0.1337475461,0.0388938206,0.0038565185,0.0000000000,0.0000000000
222,0.0205432861,0.0563914865,0.0142516968,0.1357835028,0.0403984172,0.0029070389,0.0037416940,0.0000000000
228,0.0197878202,0.0551743471,0.0153468847,0.1382138221,0.0483601086,0.0011229042,0.0062789189,0.0000000000
234,0.0226679347,0.0607579841,0.0151378250,0.1300929603,0.0495709128,0.0000000000,0.0000000000,0.0001702570
240,0.0228603647,0.0736056547,0.0147418785,0.1252220270,0.0541116268,0.0000000000,0.0000000000,0.0000000000
246,0.0169377976,0.0759971713,0.0117303098,0.1056377232,0.0550832794,0.0000000000,0.0000000000,0.0000000000
252,0.0145431134,0.0648734516,0.0060152186,0.1009164577,0.0563685216,0.0000000000,0.0000000000,0.0000000000
258,0.0170724194,0.0492969178,0.0044195544,0.1085154621,0.0434907590,0.0000000000,0.0000000000,0.0000000000
264,0.0162480589,0.0419481516,0.0043261110,0.0982351083,0.0359954925,0.0000118784,0.0000000000,0.0038850267
270,0.0149224301,0.0403714928,0.0071911796,0.1004096462,0.0345835475,0.0000000000,0.0022378894,0.0050190173
276,0.0162068804,0.0509891930,0.0115711393,0.1044443406,0.0359052167,0.0018403591,0.0048036224,0.0071856363
282,0.0136918285,0.0558838832,0.0120613210,0.0968928498,0.0392430454,0.0017580023,0.0046254465,0.0050435660
288,0.0073590609,0.0554475501,0.0117952450,0.0889778800,0.0409242341,0.0020090323,0.0000000000,0.0003666464
294,0.0038343455,0.0506692683,0.0092596039,0.0875192133,0.0407405149,0.0027969658,0.0000000000,0.0000000000
