time (min),uvrD,lexA,umuDC,recA,uvrA,uvrY,ruvA,polB
6,0.0433028001,0.5411054953,0.0574149323,0.7106064092,0.5746409504,0.0383169189,0.0000000000,0.0000000000
12,0.0615802130,0.6672435294,0.0738621127,0.8395117718,0.7238854849,0.0034604434,0.0000000000,0.0000000000
18,0.0934737342,0.7127546241,0.0983365254,0.9670682724,0.7293161027,0.0000000000,0.0089606654,0.0231826994
24,0.0881581473,0.6856711413,0.1106660492,1.0000000000,0.6161611426,0.0000000000,0.0109095918,0.0268277779
30,0.0819662762,0.6206458710,0.0998143391,0.9606675877,0.5238846059,0.0000000000,0.0105183412,0.0256305803
36,0.0625876467,0.5786193979,0.0853629765,0.9053693654,0.4353681785,0.0234970187,0.0096904138,0.0391697573
42,0.0437270213,0.4950023958,0.0771877431,0.8141691346,0.3935724993,0.0394928688,0.0066270825,0.0338842103
48,0.0520612461,0.3809037449,0.0650992707,0.7009255201,0.3300990435,0.0452751723,0.0063266840,0.0144704122
54,0.0617106299,0.3252802131,0.0667184915,0.5839078756,0.2492303206,0.0417949466,0.0145693239,0.0169073029
60,0.0294229273,0.3015582619,0.0743009875,0.5030560045,0.1899822252,0.0280454906,0.0205245396,0.0176802794
66,0.0245029871,0.2901687652,0.0703320648,0.4506386762,0.1474575302,0.0178766374,0.0166567267,0.0082858679
72,0.0300237241,0.2575623473,0.0642566897,0.4206926161,0.1290562947,0.0183008586,0.0138974572,0.0101959623
78,0.0254591334,0.1995649351,0.0576896869,0.3898416973,0.1219287924,0.0242216384,0.0000000000,0.0131896892
84,0.0249030299,0.2191106154,0.0407838494,0.3799402720,0.1356775157,0.0305886197,0.0000000000,0.0089496752
90,0.0258774931,0.2193421421,0.0307879084,0.3818855350,0.1271432695,0.0271889887,0.0000000000,0.0166596574
96,0.0247198601,0.1760202922,0.0241534992,0.3828453446,0.1215258189,0.0221496219,0.0000000000,0.0211568417
102,0.0243374017,0.2008822921,0.0254320242,0.3846059725,0.1343477031,0.0028142204,0.0101468729,0.0199764957
108,0.0132805414,0.2069012509,0.0238531008,0.3911312125,0.1316668303,0.0000732679,0.0187968823,0.0190818945
114,0.0089123086,0.1955337347,0.0211883469,0.3751844519,0.1220137832,0.0012162473,0.0159379685,0.0201288929
120,0.0103190524,0.1753139896,0.0195845123,0.3598919738,0.1168220191,0.0164977353,0.0104084393,0.0152785573
126,0.0210344843,0.1712520167,0.0236838519,0.3693156923,0.1155112561,0.0173227320,0.0076960613,0.0193859563
132,0.0278886972,0.1484700927,0.0214968048,0.3288886577,0.0966982549,0.0182737494,0.0000000000,0.0236069206
138,0.0249682384,0.1214261745,0.0165116562,0.2869808785,0.0823260217,0.0098589300,0.0000000000,0.0194614222
144,0.0180077869,0.1098351911,0.0151195659,0.2877948850,0.0805741860,0.0047814638,0.0000000000,0.0145466108
150,0.0151063777,0.1061549440,0.0141516968,0.2877934196,0.0844192858,0.0047089286,0.0000000000,0.0188606254
156,0.0171827902,0.1159508636,0.0136747227,0.2903621925,0.0756286020,0.0100472285,0.0000000000,0.0189097149
162,0.0214000911,0.1160614982,0.0173146725,0.2840333105,0.0688754988,0.0078843598,0.0003590128,0.0156002034
168,0.0259522264,0.1131454353,0.0220939382,0.2825554967,0.0753809565,0.0154558656,0.0009751959,0.0151129718
