Year,Candidate_ID,Name,State,Category,Total_Score,Percentile,AIR (All India Rank),State_Rank,Category_Rank,Qualified_Status,Cutoff_Score
2019,NEET195010,Candidate_2800,Uttar Pradesh,ST,283,39.31,167419,1909,2725,Yes,112
2024,NEET644990,Candidate_3623,Maharashtra,SC,206,28.61,169771,69,2808,Yes,134
2019,NEET775386,Candidate_8406,Tamil Nadu,EWS,113,15.69,180415,341,5896,No,141
2023,NEET867767,Candidate_3930,Maharashtra,ST,503,69.86,170202,4282,8278,Yes,114
2015,NEET839581,Candidate_2298,Tamil Nadu,SC,565,78.47,136689,4548,8517,Yes,132
2016,NEET839331,Candidate_6929,Tamil Nadu,OBC,191,26.53,61107,3894,2458,Yes,138
2024,NEET463260,Candidate_8192,Tamil Nadu,SC,596,82.78,47181,3570,370,Yes,123
2016,NEET534681,Candidate_7934,Tamil Nadu,General,143,19.86,102181,2112,5508,Yes,144
2023,NEET537712,Candidate_9747,Delhi,EWS,372,51.67,71305,2316,1077,Yes,144
2022,NEET856172,Candidate_1457,Maharashtra,EWS,400,55.56,95748,4521,5250,Yes,147
2016,NEET964192,Candidate_4128,Delhi,ST,487,67.64,136409,4495,318,Yes,123
2015,NEET558924,Candidate_1911,Maharashtra,EWS,448,62.22,176963,2383,3160,Yes,147
2019,NEET760930,Candidate_3695,Maharashtra,SC,294,40.83,91788,362,688,Yes,112
2024,NEET885498,Candidate_5557,Tamil Nadu,OBC,706,98.06,76029,3935,5724,Yes,150
2022,NEET926753,Candidate_4524,Tamil Nadu,General,112,15.56,31468,3267,9471,No,149
2017,NEET268949,Candidate_5915,West Bengal,EWS,705,97.92,161672,1649,481,Yes,141
2023,NEET809084,Candidate_2264,Tamil Nadu,EWS,302,41.94,145844,1248,6540,Yes,138
2017,NEET232806,Candidate_6919,Maharashtra,OBC,240,33.33,172386,3972,1621,Yes,150
2018,NEET839642,Candidate_6304,Karnataka,General,355,49.31,191855,2492,5470,Yes,148
2019,NEET725601,Candidate_6030,West Bengal,ST,631,87.64,100687,4917,7572,Yes,111
2024,NEET639774,Candidate_2521,West Bengal,EWS,466,64.72,96725,4209,1042,Yes,146
2022,NEET837283,Candidate_4503,Uttar Pradesh,EWS,358,49.72,30843,1786,8249,Yes,142
2020,NEET237715,Candidate_5985,Delhi,General,219,30.42,141189,4573,4455,Yes,145
2015,NEET141303,Candidate_3559,Tamil Nadu,EWS,342,47.5,11290,4622,6283,Yes,138
2024,NEET326412,Candidate_2963,Tamil Nadu,EWS,345,47.92,35952,4364,9611,Yes,143
2015,NEET806757,Candidate_5343,Maharashtra,General,359,49.86,129236,2935,9968,Yes,147
